Entrez	HUGO	IMPACT	Vogelstein	Sanger-CGC	QUEST-34	Tumor-suppressor-gene	Oncogene
11168	PSIP1	0	0	1	0		
9135	RABEP1	0	0	1	0		
5900	RALGDS	0	0	1	0		
64901	RANBP17	0	0	1	0		
5910	RAP1GDS1	0	0	1	0		
64783	RBM15	0	0	1	0		
399	RHOH	0	0	1	0		
116028	RMI2	0	0	1	0		
57674	RNF213	0	0	1	0		
6184	RPN1	0	0	1	0		
51119	SBDS	0	0	1	0		
6385	SDC4	0	0	1	0		
5413	SEPT5	0	0	1	0		
23157	SEPT6	0	0	1	0		
10801	SEPT9	0	0	1	0		
6418	SET	0	0	1	0		
6421	SFPQ	0	0	1	0		
6455	SH3GL1	0	0	1	0		
10568	SLC34A2	0	0	1	0		
85414	SLC45A3	0	0	1	0		
92017	SNX29	0	0	1	0		
92521	SPECC1	0	0	1	0		
9901	SRGAP3	0	0	1	0		
6428	SRSF3	0	0	1	0		
6760	SS18	0	0	1	0		
26039	SS18L1	0	0	1	0		
6756	SSX1	0	0	1	0		
6757	SSX2	0	0	1	0		
6759	SSX4	0	0	1	0		
7955	STL	0	0	1	0		
8148	TAF15	0	0	1	0		
6886	TAL1	0	0	1	0		
6887	TAL2	0	0	1	0		
6917	TCEA1	0	0	1	0		
6938	TCF12	0	0	1	0		
6929	TCF3	0	0	1	0		
8115	TCL1A	0	0	1	0		
27004	TCL6	0	0	1	0		
7030	TFE3	0	0	1	0		
7942	TFEB	0	0	1	0		
10342	TFG	0	0	1	0		
29844	TFPT	0	0	1	0		
7037	TFRC	0	0	1	0		
9967	THRAP3	0	0	1	0		
3195	TLX1	0	0	1	0		
30012	TLX3	0	0	1	0		
608	TNFRSF17	0	0	1	0		
7170	TPM3	0	0	1	0		
7171	TPM4	0	0	1	0		
7175	TPR	0	0	1	0		
6955	TRA@	0	0	1	0		
6957	TRB@	0	0	1	0		
6964	TRD@	0	0	1	0		
8805	TRIM24	0	0	1	0		
5987	TRIM27	0	0	1	0		
51592	TRIM33	0	0	1	0		
150465	TTL	0	0	1	0		
9098	USP6	0	0	1	0		
143187	VTI1A	0	0	1	0		
7468	WHSC1	0	0	1	0		
54904	WHSC1L1	0	0	1	0		1
11197	WIF1	0	0	1	0		
25937	WWTR1	0	0	1	0		
7507	XPA	0	0	1	0		
7508	XPC	0	0	1	0		
7531	YWHAE	0	0	1	0		
7704	ZBTB16	0	0	1	0		
7750	ZMYM2	0	0	1	0		
55422	ZNF331	0	0	1	0		
171017	ZNF384	0	0	1	0		
25925	ZNF521	0	0	1	0		
6774	STAT3	0	0	0	0		
92	ACVR2A	0	0	0	0		
1756	DMD	0	0	0	0		
113146	AHNAK2	0	0	0	0		
89795	NAV3	0	0	0	0		
1301	COL11A1	0	0	0	0		
5339	PLEC	0	0	0	0		
378938	MALAT1	0	0	0	0		
57616	TSHZ3	0	0	0	0		
2909	ARHGAP35	0	0	0	0		
7644	ZNF91	0	0	0	0		
57692	MAGEE1	0	0	0	0		
285464	CRIPAK	0	0	0	0		
138474	TAF1L	0	0	0	0		
5243	ABCB1	0	0	0	0		
463	ZFHX3	0	0	0	0		
5173	PDYN	0	0	0	0		
1794	DOCK2	0	0	0	0		
84962	AJUBA	0	0	0	0		
83481	EPPK1	0	0	0	0		
128553	TSHZ2	0	0	0	0		
114548	NLRP3	0	0	0	0		
677	ZFP36L1	0	0	0	0		
23345	SYNE1	0	0	0	0		
4744	NEFH	0	0	0	0		
1822	ATN1	0	0	0	0		
7099	TLR4	0	0	0	0		
9757	MLL4	0	0	0	0		
1999	ELF3	0	0	0	0		
120892	LRRK2	0	0	0	0		
10721	POLQ	0	0	0	0		
